,NAME,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,INCOME_AMT,ASK_AMT,IS_SUCCESSFUL
10429,SIGMA BETA DELTA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
10430,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10431,Other,T3,Independent,C1200,Preservation,Trust,100000-499999,136654,1
10432,Other,T4,Independent,C1000,ProductDev,Trust,0,5000,1
10433,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
10434,Other,T3,Independent,C1000,Preservation,Trust,1-99999,8586,1
10435,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
10436,Other,Other,Independent,C1000,ProductDev,Co-operative,1-99999,5000,1
10437,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10438,Other,T3,Independent,C1000,Preservation,Trust,1-99999,5000,1
10439,Other,Other,Independent,C1000,ProductDev,Association,0,5000,1
10440,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
10441,AMERICAN STUDENT DENTAL ASSOCIATION,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,1
10442,AMERICAN STUDENT DENTAL ASSOCIATION,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,1
10443,AMERICAN STUDENT DENTAL ASSOCIATION,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,1
10444,AMERICAN STUDENT DENTAL ASSOCIATION,T6,CompanySponsored,C2000,ProductDev,Association,1-99999,25650,1
10445,AMERICAN STUDENT DENTAL ASSOCIATION,T6,CompanySponsored,C2000,ProductDev,Association,1-99999,13163,1
10446,AMERICAN STUDENT DENTAL ASSOCIATION,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,1
10447,Other,T19,Independent,C1000,Preservation,Association,0,5000,0
10448,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
10449,SIGMA BETA DELTA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
10450,SIGMA BETA DELTA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
10451,SIGMA BETA DELTA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
10452,OLD OAK CLIFF CONSERVATION LEAGUE INC,T3,CompanySponsored,C2000,Preservation,Association,0,5000,1
10453,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10454,AFRICAN-AMERICAN POSTAL LEAGUE UNITED FOR SUCCESS A-PLUS,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,1
10455,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
10456,NATIONAL INSTITUTE OF GOVERNMENTAL PURCHASING INC,T3,CompanySponsored,Other,Preservation,Association,0,5000,1
10457,CALIFORNIA ASSOCIATION FOR NURSE PRACTITIONERS,T6,Independent,C3000,ProductDev,Association,0,5000,0
10458,DEPT OF GEORGIA LADIES AUXILIARY TO THE VFW OF THE UNITED STATES,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10459,LOUISIANA 4-H FOUNDATION,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
10460,KIWANIS INTERNATIONAL INC,T4,CompanySponsored,Other,ProductDev,Association,0,5000,0
10461,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10462,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
10463,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
10464,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
10465,Other,Other,Independent,C1000,ProductDev,Trust,1-99999,53767,1
10466,ALPHA PHI SIGMA,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10467,Other,T3,Independent,C1000,Preservation,Trust,1-99999,37847,1
10468,FLEET RESERVE ASSOCIATION,T19,Independent,C1000,Preservation,Association,0,5000,1
10469,WORKERS UNITED,T5,CompanySponsored,C3000,ProductDev,Association,0,5000,1
10470,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10471,WORKERS UNITED,T5,CompanySponsored,C3000,ProductDev,Association,0,5000,1
10472,TENNESSEE ORDER OF THE EASTERN STAR,Other,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10473,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
10474,HONOR SOCIETY OF PHI KAPPA PHI,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
10475,Other,Other,Independent,C1000,ProductDev,Trust,100000-499999,91478,0
10476,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10477,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
10478,Other,T3,Independent,C1200,Preservation,Trust,0,5000,0
10479,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
10480,Other,T3,Independent,Other,Preservation,Trust,0,5000,0
10481,AMERICAN LEGION AUXILIARY,T19,Independent,C1000,ProductDev,Association,0,5000,0
10482,FUTURE FARMERS OF AMERICA AND ITS STATE ASSOCIATIONS & LOCAL CHAPTER,T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
10483,Other,T3,Independent,C2000,Preservation,Association,0,5000,1
10484,VETERANS OF FOREIGN WARS OF THE UNITED STATES AUXILIARY,T19,CompanySponsored,C1000,Preservation,Association,0,5000,0
10485,DEPARTMENT OF MONTANA LADIES AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10486,VETERANS OF FOREIGN WARS OF THE U S AUXILIARY DEPARTMENT OF LOUISIANA,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10487,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
10488,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,0,5000,0
10489,Other,T3,Independent,C1000,Preservation,Trust,1M+,27507,1
10490,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
10491,SONS OF CONFEDERATE VETERANS INC,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
10492,UNIVERSITY OF WYOMING,T3,CompanySponsored,Other,Preservation,Association,0,5000,0
10493,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10494,FUTURE FARMERS OF AMERICA STATE ASSOCIATIONS & LOCAL CHAPTER,T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
10495,MOMS CLUB,T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
10496,Other,T3,Independent,C1000,Preservation,Trust,1-99999,6021620,1
10497,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10498,Other,T3,Independent,C2000,Preservation,Association,0,5000,0
10499,Other,T3,Independent,C1200,Preservation,Trust,1-99999,82403,1
10500,Other,T3,Independent,C1000,Preservation,Association,0,5000,1
10501,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10502,Other,T3,Independent,C2100,Preservation,Trust,0,5000,1
10503,DEPARTMENT OF NEVADA VETERANS OF FOREIGN WARS OF THE U S INC,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10504,MOMS CLUB,T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
10505,DEPARTMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10506,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
10507,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
10508,DEPARTMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10509,VFW AUXILIARY DEPARTMENT OF MISSISSIPPI,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10510,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,72305,1
10511,Other,T3,Independent,C2000,Preservation,Trust,0,5000,0
10512,Other,T3,Independent,C1200,Preservation,Association,0,5000,0
10513,DEPARTMENT OF ALABAMA AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10514,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10515,UNIVERSITY OF WYOMING,T3,CompanySponsored,Other,Preservation,Association,0,5000,0
10516,UNIVERSITY OF WYOMING,T3,CompanySponsored,Other,Preservation,Association,0,5000,0
10517,UNIVERSITY OF WYOMING,T3,CompanySponsored,Other,Preservation,Association,0,5000,0
10518,UNIVERSITY OF WYOMING,T3,CompanySponsored,Other,Preservation,Association,0,5000,0
10519,UNIVERSITY OF WYOMING,T3,CompanySponsored,Other,Preservation,Association,0,5000,0
10520,UNIVERSITY OF WYOMING,T3,CompanySponsored,Other,Preservation,Association,0,5000,0
10521,UNIVERSITY OF WYOMING,T3,CompanySponsored,Other,Preservation,Association,0,5000,0
10522,UNIVERSITY OF WYOMING,T3,CompanySponsored,Other,Preservation,Association,0,5000,0
10523,UNIVERSITY OF WYOMING,T3,CompanySponsored,Other,Preservation,Association,0,5000,0
10524,MONTANA 4-H FOUNDATION INC,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10525,MONTANA 4-H FOUNDATION INC,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10526,Other,T4,Independent,C3000,ProductDev,Trust,1-99999,29830,1
10527,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10528,DEPARTMENT OF ALABAMA AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10529,DEPARTMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10530,DEPARTMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10531,MOMS CLUB,T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
10532,ASSOCIATION OF TRADITIONAL HOOKING ARTIST,T3,CompanySponsored,C2000,Preservation,Association,0,5000,1
10533,SIGMA BETA DELTA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
10534,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,0,5000,0
10535,ASSOCIATION OF PROFESSIONAL GENEALOGISTS,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,1
10536,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10537,Other,T3,Independent,C1000,Preservation,Trust,1-99999,914325,1
10538,Other,T5,Independent,C3000,ProductDev,Association,0,5000,0
10539,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10540,SOCIETY OF WOMEN ENGINEERS,T3,CompanySponsored,C1000,Preservation,Association,0,5000,0
10541,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
10542,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
10543,Other,T3,Independent,C2000,Preservation,Trust,1-99999,5175,1
10544,PHI BETA PSI SORORITY,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
10545,INTERNATIONAL WOMENS INSOLVENCY & RESTRUCTURING CONFEDERATION INC,T6,CompanySponsored,C1000,CommunityServ,Trust,0,5000,1
10546,MOMS CLUB,T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
10547,Other,T3,Independent,C1000,Preservation,Association,1-99999,8324,0
10548,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
10549,Other,T3,Independent,C1000,Preservation,Trust,1-99999,42979,1
10550,MOMS CLUB,T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
10551,SONS OF CONFEDERATE VETERANS INC,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
10552,VETERANS OF FOREIGN WARS OF THE U S AUXILIARY DEPARTMENT OF LOUISIANA,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10553,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
10554,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
10555,Other,T3,Independent,C2000,Preservation,Trust,1M+,214048,1
10556,Other,T3,Independent,C2000,Preservation,Trust,0,5000,0
10557,AMERICANS UNITED FOR SEPARATION OF CHURCH AND STATE,T3,CompanySponsored,C1000,ProductDev,Trust,0,5000,0
10558,Other,T3,Independent,Other,Preservation,Trust,100000-499999,15704,1
10559,ASSOCIATION FOR VASCULAR ACCESS,T6,CompanySponsored,C1000,ProductDev,Association,0,5000,1
10560,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,0,5000,0
10561,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
10562,UNIVERSITY OF WYOMING,T3,CompanySponsored,Other,Preservation,Association,0,5000,0
10563,MODERN QUILT GUILD INC,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
10564,Other,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10565,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
10566,EMMAUS CALLING INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
10567,AMATEUR ATHLETIC UNION OF THE UNITED STATES,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
10568,Other,T3,Independent,C1000,Preservation,Trust,1-99999,19270,1
10569,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
10570,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10571,MOMS CLUB,T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
10572,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10573,NATIONAL KAPPA KAPPA IOTA INC,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10574,Other,Other,Independent,C1000,ProductDev,Association,0,5000,1
10575,Other,T3,Independent,C2000,Preservation,Trust,1-99999,181772,0
10576,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
10577,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
10578,NATIONAL KAPPA KAPPA IOTA INC,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10579,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10580,ALTRUSA INTERNATIONAL FOUNDATION INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
10581,Other,T6,Independent,C2000,ProductDev,Trust,100000-499999,54350,1
10582,DAUGHTERS OF ESTHER FELLOWSHIP INTERNATIONAL MINISTRIES INC,T3,CompanySponsored,Other,Preservation,Trust,0,5000,1
10583,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC,T3,CompanySponsored,C1200,Preservation,Trust,100000-499999,7520,0
10584,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10585,DISABLED AMERICAN VETERANS AUXILIARY INC,T4,CompanySponsored,C1000,Preservation,Association,0,5000,0
10586,Other,T3,Independent,C1000,Preservation,Trust,1-99999,19929,1
10587,RETROUVAILLE INTERNATIONAL INC,T3,CompanySponsored,C2000,Preservation,Trust,1-99999,18340,1
10588,KNIGHTS OF COLUMBUS,Other,Independent,C1000,Preservation,Association,1-99999,5000,0
10589,MOMS CLUB,T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
10590,Other,T3,Independent,C1000,Preservation,Trust,1-99999,10684,1
10591,Other,T19,Independent,C1000,ProductDev,Trust,1-99999,51148,1
10592,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10593,Other,T3,Independent,C1000,Preservation,Trust,1-99999,20343,1
10594,Other,T19,Independent,C1000,Preservation,Trust,0,5000,1
10595,PARENT BOOSTER USA INC,T3,CompanySponsored,C2100,Preservation,Trust,0,5000,0
10596,AMERICAN CHRISTIAN FICTION WRITERS INC,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,1
10597,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10598,VETERANS OF FOREIGN WARS OF THE UNITED STATES AUXILIARY,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10599,Other,T5,Independent,C3000,ProductDev,Association,1-99999,10139,0
10600,Other,T3,Independent,C1000,Preservation,Association,100000-499999,54220,0
10601,Other,T3,Independent,C1200,Preservation,Trust,0,5000,0
10602,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
10603,Other,T3,Independent,C1200,Preservation,Association,0,5000,1
10604,Other,T3,Independent,C2000,Preservation,Trust,0,5000,0
10605,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
10606,MOMS CLUB,T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
10607,Other,Other,Independent,C1000,ProductDev,Trust,100000-499999,14186,1
10608,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10609,Other,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10610,EPSILON PI TAU INC,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,1
10611,AMERICAN STUDENT DENTAL ASSOCIATION,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,1
10612,Other,T6,Independent,C2000,ProductDev,Trust,0,5000,1
10613,Other,T4,Independent,C2000,ProductDev,Trust,0,5000,1
10614,Other,T3,Regional,C2000,Preservation,Association,0,5000,1
10615,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
10616,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
10617,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
10618,YELLOWSTONE COUNTY 4-H COUNCIL,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10619,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10620,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10621,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10622,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10623,WASHINGTON STATE UNIVERSITY 4-H CLUBS AND AFFILIATED 4-H ORGANIZAT,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10624,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10625,Other,T6,Independent,C2000,ProductDev,Trust,0,5000,0
10626,MONTANA 4-H FOUNDATION INC,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
10627,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
10628,Other,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10629,WASHINGTON STATE UNIVERSITY,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10630,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
10631,COLLEGE AND UNIVERSITY PROFESSIONAL ASSOCIATION FOR HUMAN RESOURCES,T3,CompanySponsored,C2100,Preservation,Trust,0,5000,0
10632,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10633,JAMESTOWN SOCIETY,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
10634,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10635,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10636,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10637,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10638,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10639,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10640,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10641,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10642,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10643,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
10644,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10645,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10646,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10647,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10648,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10649,Other,T3,CompanySponsored,Other,Preservation,Association,0,5000,0
10650,UNIVERSITY OF WYOMING,T3,CompanySponsored,Other,Preservation,Association,0,5000,0
10651,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10652,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10653,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10654,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10655,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10656,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10657,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10658,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
10659,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10660,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10661,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10662,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10663,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10664,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10665,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10666,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10667,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
10668,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10669,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10670,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10671,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10672,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10673,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10674,Other,T3,Independent,C1200,Preservation,Trust,0,5000,0
10675,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10676,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
10677,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10678,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10679,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10680,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10681,TOPS CLUB INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
10682,SERTOMA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
10683,Other,T6,CompanySponsored,C2000,ProductDev,Association,0,5000,0
10684,Other,T4,Independent,C3000,ProductDev,Trust,100000-499999,466112,1
10685,Other,Other,Independent,C1000,ProductDev,Co-operative,1M+,13407664,0
10686,Other,T3,Independent,C1000,Preservation,Trust,1-99999,1974843,1
10687,Other,Other,Independent,C1000,ProductDev,Co-operative,1M+,837656,1
10688,Other,Other,Independent,C1000,ProductDev,Co-operative,0,5000,1
10689,Other,Other,Independent,C1000,ProductDev,Co-operative,1M+,1544279,1
10690,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
10691,Other,T3,Independent,C1000,Preservation,Trust,1M+,2218509,1
10692,Other,T3,Independent,C1000,Preservation,Trust,1-99999,1231985,0
10693,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
10694,Other,Other,CompanySponsored,C1000,ProductDev,Association,0,5000,1
10695,SERRA INTERNATIONAL,T3,CompanySponsored,Other,Preservation,Association,1-99999,10478,0
10696,SOCIETY FOR PRESERVATION & ENCOURMT OF BARBERSHOP QUARTET SINGING AMER,T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
10697,FULL GOSPEL ASSEMBLIES OF AMERICA INC,T3,Family/Parent,Other,Preservation,Trust,0,5000,1
10698,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
10699,Other,T3,Independent,C2000,Preservation,Association,0,5000,0
10700,Other,T6,Independent,C1000,ProductDev,Trust,1-99999,25922,1
10701,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10702,ACADEMY OF GENERAL DENTISTRY,T6,CompanySponsored,C1000,ProductDev,Association,0,5000,1
10703,Other,T6,Independent,C2000,ProductDev,Trust,0,5000,1
10704,Other,T3,Family/Parent,C1000,Preservation,Trust,1M+,894612,1
10705,Other,Other,Independent,C1000,ProductDev,Co-operative,0,60610,1
10706,UNITED FEDERATION OF DOLL CLUBS INC,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10707,UNITED FEDERATION OF DOLL CLUBS INC,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
10708,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10709,Other,T3,Independent,C1000,Preservation,Co-operative,1-99999,296415,1
10710,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10711,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10712,AMATEUR ATHLETIC UNION OF THE UNITED STATES INC,T3,CompanySponsored,C1200,Preservation,Trust,1-99999,7756,0
10713,ORDER OF THE FOUNDERS & PATRIOTS OF AMERICA,T3,CompanySponsored,C2000,Preservation,Association,0,5000,1
10714,Other,T5,Independent,C3000,ProductDev,Association,1-99999,16627,1
10715,Other,T3,Independent,C1000,Preservation,Trust,1-99999,5000,1
10716,Other,T6,Independent,C2000,ProductDev,Trust,0,5000,1
10717,ALPHA PHI OMEGA,T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
10718,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,1844007,1
10719,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10720,Other,T6,CompanySponsored,C2000,ProductDev,Trust,0,5000,1
10721,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
10722,Other,T4,Independent,C1000,ProductDev,Association,0,5000,0
10723,Other,T4,Independent,C3000,ProductDev,Association,0,5000,0
10724,Other,T3,Independent,C1000,Preservation,Trust,1M+,70915708,1
10725,Other,T3,Independent,C1000,Preservation,Trust,1-99999,88725,1
10726,PI KAPPA ALPHA FRATERNITY,Other,CompanySponsored,C1000,ProductDev,Association,0,5000,0
10727,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
10728,Other,T3,Independent,C1000,Preservation,Trust,1M+,1660217,1
10729,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
10730,TUSKEGEE AIRMEN INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
10731,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,86434,0
10732,Other,T3,Independent,C2000,Preservation,Trust,1-99999,39415,1
10733,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
10734,Other,T19,Independent,C1000,Preservation,Trust,0,5000,1
10735,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
10736,COMMUNICATION ALLIANCE TO NETWORK THOROUGHBRED EX-RACEHORSES,T3,Independent,C1000,Preservation,Trust,0,5000,1
